Index,Brand,Model,Motor,Year,Mileage,Gear,Fuel,Price
62,PEUGEOT,5008 II,1.6 PURETECH 180 GT LINE,2020,43757,Automatique,Essence,36160
63,PEUGEOT,308 (2E GENERATION),GT LINE 1.2 PURETECH 130CH MANUELLE,2021,96230,Manuelle,Essence,23940
64,PEUGEOT,2008 II,1.2 PURETECH 100 ALLURE,2023,17066,Manuelle,Essence,27040
65,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,23770,Manuelle,Essence,19080
66,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,50056,Manuelle,Essence,16000
67,PEUGEOT,5008 II,1.6 PURETECH 180 GT LINE,2020,69417,Automatique,Essence,39080
68,PEUGEOT,2008 II,1.2 PURETECH 130 ALLURE,2023,12351,Automatique,Essence,34750
69,PEUGEOT,2008 phase 2,1.2 PURETECH 130 GT LINE,2020,61424,Automatique,Essence,22680
70,PEUGEOT,208 II,1.2 PURETECH 100 GT,2023,14458,Manuelle,Essence,25830
71,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,16311,Manuelle,Essence,16780
72,PEUGEOT,308 II phase 2,1.2 PURETECH 130 ALLURE,2022,40262,Automatique,Essence,25640
73,PEUGEOT,2008 II,1.2 PURETECH 130 GT LINE,2021,32551,Automatique,Essence,37180
74,PEUGEOT,2008 II,1.2 PURETECH 130 ALLURE,2022,41630,Automatique,Essence,29780
75,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2021,16035,Automatique,Essence,32750
76,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE BUSINESS,2021,70959,Manuelle,Essence,19600
77,PEUGEOT,208 II,1.2 PURETECH 100 GT LINE,2020,38541,Automatique,Essence,25940
78,PEUGEOT,2008 II,1.2 PURETECH 130 ALLURE PACK,2022,13593,Automatique,Essence,33440
79,PEUGEOT,308 (3E GENERATION),BVM ACTIVE PACK 130CHSUREQUIPEE,2022,43446,Manuelle,Essence,26370
80,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,30419,Manuelle,Essence,20380
81,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2022,25356,Manuelle,Essence,25200
82,PEUGEOT,208 II,1.2 PURETECH 100 ACTIVE,2021,23574,Manuelle,Essence,19240
83,PEUGEOT,2008 phase 2,1.2 PURETECH 130 ALLURE,2020,59349,Manuelle,Essence,20210
84,PEUGEOT,3008 II,1.2 PURETECH 130 CROSSWAY,2021,43395,Automatique,Essence,29560
85,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE PACK,2022,18077,Manuelle,Essence,22020
86,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2021,16035,Automatique,Essence,32750
87,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE PACK,2022,27047,Automatique,Essence,23960
88,PEUGEOT,2008 II,1.2 PURETECH 100 ALLURE,2022,28846,Manuelle,Essence,27460
89,PEUGEOT,2008 II,1.2 PURETECH 130 GT LINE,2021,47300,Automatique,Essence,29130
90,PEUGEOT,208 phase 2,1.2 PURETECH 82 ACTIVE BUSINESS,2020,36293,Manuelle,Essence,14830
91,PEUGEOT,208 II,1.2 PURETECH 130 ALLURE PACK,2022,28386,Automatique,Essence,26100
92,PEUGEOT,308 II GTI phase 2,1.6 PURETECH 262 GTI BY PEUGEOT SPORT,2020,49651,Manuelle,Essence,35070
93,PEUGEOT,2008,1.2 PURETECH 82CH STYLE,2020,40716,Manuelle,Essence,16870
94,PEUGEOT,208 II,1.2 PURETECH 100 GT,2022,24860,Manuelle,Essence,24740
95,PEUGEOT,2008 II,1.2 PURETECH 100 ACTIVE PACK,2022,34125,Manuelle,Essence,21510
96,PEUGEOT,3008 II phase 2,1.2 PURETECH 130 ALLURE PACK,2022,39707,Manuelle,Essence,34780
97,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2021,83070,Manuelle,Essence,27480
98,PEUGEOT,308 II phase 2,1.2 PURETECH 130 ALLURE,2022,46033,Automatique,Essence,27020
99,PEUGEOT,208 II,1.2 PURETECH 100 GT,2022,21756,Manuelle,Essence,26740
100,PEUGEOT,208 II,1.2 PURETECH 100 GT,2022,39114,Manuelle,Essence,26930
101,PEUGEOT,2008 II,1.2 PURETECH 100 STYLE,2022,25196,Manuelle,Essence,23580
102,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,37665,Manuelle,Essence,17470
103,PEUGEOT,2008 II,1.2 PURETECH 130 ALLURE,2022,39774,Manuelle,Essence,25830
104,PEUGEOT,308 III,1.2 PURETECH 130 ACTIVE PACK,2021,30195,Manuelle,Essence,23120
105,PEUGEOT,3008 II phase 2,1.2 PURETECH 130 ALLURE PACK,2022,15080,Automatique,Essence,40190
106,PEUGEOT,308 II SW phase 2,1.2 PURETECH 110 STYLE,2021,24219,Manuelle,Essence,22800
107,PEUGEOT,2008 II,1.2 PURETECH 130 ALLURE PACK,2022,46137,Manuelle,Essence,27140
108,PEUGEOT,208 (2E GENERATION),1.2 PURETECH 100 ALLURE PACK EAT8,2022,45782,Automatique,Essence,23130
109,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE PACK,2022,24138,Manuelle,Essence,21830
110,PEUGEOT,308 II phase 2,1.2 PURETECH 130 GT LINE,2021,64097,Manuelle,Essence,22260
111,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2021,25236,Manuelle,Essence,22370
112,PEUGEOT,308 II phase 2,1.2 PURETECH 130 GT LINE,2020,42634,Manuelle,Essence,23790
113,PEUGEOT,308 II phase 2,1.2 PURETECH 130 ALLURE PACK,2022,39802,Manuelle,Essence,25280
114,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,26622,Manuelle,Essence,19660
115,PEUGEOT,208 II,1.2 PURETECH 130 ALLURE PACK,2022,15884,Automatique,Essence,26610
116,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2021,20097,Manuelle,Essence,20460
117,PEUGEOT,2008 II,1.2 PURETECH 130 GT,2023,13201,Manuelle,Essence,28870
118,PEUGEOT,308 II phase 2,1.2 PURETECH 130 ALLURE,2022,36315,Automatique,Essence,23520
119,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2022,47431,Manuelle,Essence,20680
120,PEUGEOT,208 phase 2,1.2 PURETECH 110 GT LINE,2020,52699,Automatique,Essence,20150
121,PEUGEOT,308 (2E GENERATION),ACTIVE 1.2 PURETECH 110CH MANUELLE,2021,48489,Manuelle,Essence,19210
122,PEUGEOT,308 II phase 2,1.2 PURETECH 130 GT LINE,2020,73067,Manuelle,Essence,21090
123,PEUGEOT,208 II,1.2 PURETECH 100 STYLE,2022,18261,Automatique,Essence,25600
124,PEUGEOT,308 II phase 2,1.2 PURETECH 130 ALLURE BUSINESS,2021,63088,Automatique,Essence,21540
125,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2020,47091,Automatique,Essence,24380
126,PEUGEOT,208 phase 2,1.2 PURETECH 82 SIGNATURE,2020,18012,Manuelle,Essence,16030
127,PEUGEOT,208 II,1.2 PURETECH 100 STYLE,2023,23503,Manuelle,Essence,22970
128,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE PACK,2023,24693,Manuelle,Essence,22920
129,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,30653,Manuelle,Essence,18350
130,PEUGEOT,3008 II phase 2,1.2 PURETECH 130 GT,2022,53304,Manuelle,Essence,32920
131,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE,2021,32153,Manuelle,Essence,17520
